label,gender,offenseLevel,notes
Amibe,F,HIGH,
Anacoluthe,F,LOW,
Animal,M,LOW,
Anthropopithèque,M,MAX,
Arlequin,M,HIGH,
Banane,F,MEDIUM,
Bandit,M,MEDIUM,
Bidule,M,MEDIUM,
Boit-sans-soif,NEUTRAL,VERY_HIGH,
Bougre,M,HIGH,
Bougresse,F,HIGH,
Brigand,AUTO,MEDIUM,
Brontosaure,M,LOW,
Camembert,M,MEDIUM,
Canaille,F,MEDIUM,
Catachrèse,F,LOW,
Cataplasme,M,MEDIUM,
Cercopithèque,M,MAX,
Chauffard,AUTO,HIGH,
Chenapan,AUTO,MEDIUM,
Chouette,F,MEDIUM,
Cigare,M,HIGH,
Cloporte,M,VERY_HIGH,
Clown,M,LOW,
Clysopompe,M,MAX,
Coléoptère,M,HIGH,
Coloquinte,F,MEDIUM,
Coquin,AUTO,HIGH,
Cornemuse,F,MEDIUM,
Cornichon,M,HIGH,
Corsaire,NEUTRAL,MEDIUM,
Cow-boy,M,MEDIUM,
Cow-girl,F,MEDIUM,
Crétin,AUTO,VERY_HIGH,
Cro-Magnon,M,VERY_HIGH,
Cucurbitacée,F,VERY_HIGH,
Cuistre,M,VERY_HIGH,
Diable,M,LOW,
Diablesse,F,LOW,
Diplodocus,M,LOW,
Doryphore,M,LOW,
Écornifleur,AUTO,VERY_HIGH,Écornifleuse
Ectoplasme,M,HIGH,
Emplâtre,M,HIGH,
Énergumène,NEUTRAL,MEDIUM,
Épouvantail,M,MEDIUM,
Escogriffe,M,MEDIUM,
Escroc,M,HIGH,
Escroque,F,HIGH,
Farceur,AUTO,LOW,
Faux jeton,M,VERY_HIGH,
Flibustier,M,LOW,
Forban,M,LOW,
Forbanne,F,LOW,
Fourbe,NEUTRAL,HIGH,
Fromage,M,LOW,
Froussard,AUTO,HIGH,
Gaillard,AUTO,MEDIUM,
Galopin,M,MEDIUM,
Gangster,M,MEDIUM,
Garnement,M,MEDIUM,
Girouette,F,LOW,
Goujat,AUTO,HIGH,
Gredin,AUTO,MEDIUM,
Grenouille,F,LOW,
Gyroscope,M,LOW,
Hérétique,NEUTRAL,VERY_HIGH,
Hérisson,M,LOW,
Hors-la-loi,NEUTRAL,MEDIUM,
Hurluberlu,AUTO,MEDIUM,
Invertébré,AUTO,VERY_HIGH,
Ivrogne,AUTO,MAX,
Judas,M,MAX,
Lépidoptère,M,LOW,
Loup-garou,M,MEDIUM,
Macrocéphale,M,MAX,
Malotru,AUTO,HIGH,
Marmotte,F,LOW,
Mercenaire,M,HIGH,
Morue,F,MAX,
Moule à gaufres,M,MEDIUM,
Nyctalope,NEUTRAL,LOW,
Olibrius,M,MEDIUM,
Ornithorynque,M,LOW,
Oryctérope,M,MEDIUM,
Pantoufle,F,HIGH,
Parasite,NEUTRAL,MAX,
Patate,F,HIGH,
Perruche,M,MEDIUM,
Phénomène,M,LOW,
Pirate,M,LOW,Neutral ? Piratesse ??
Piratesse,F,LOW,
porc-épic,M,LOW,
Protozoaire,M,VERY_HIGH,
Rapace,M,HIGH,
Rat,AUTO,VERY_HIGH,
Rhizopode,M,HIGH,
Sacripant,AUTO,MEDIUM,
Sapajou,M,HIGH,
Scélérat,AUTO,HIGH,
Schizophrène,NEUTRAL,MAX,
Scolopendre,M,HIGH,
Serpent,M,HIGH,
Technocrate,NEUTRAL,VERY_HIGH,
Tigre,M,MEDIUM,
Tigresse,F,MEDIUM,
Topinambour,M,MEDIUM,
Tortionnaire,NEUTRAL,VERY_HIGH,
Traître,M,MAX,
Traîtresse,F,MAX,
Tricheur,AUTO,MAX,
Troglodyte,NEUTRAL,MEDIUM,
Va-nu-pieds,NEUTRAL,MAX,
Vampire,NEUTRAL,MEDIUM,
Vandale,NEUTRAL,MEDIUM,
Vaurien,AUTO,HIGH,
Vipère,F,MAX,
Voleur,AUTO,MAX,
Zèbre,M,LOW,
Zébresse,F,LOW,
Paillasson ,M,MAX,
Tapis,M,MAX,
Savate,F,MEDIUM,
Pingouin,M,MEDIUM,
Pipelette ,F,LOW,
Lémurien ,M,MEDIUM,
Loutre,F,LOW,
Moule,F,HIGH,
Huître ,F,HIGH,
Lézard,M,LOW,
Perroquet,M,LOW,
Baltringue ,NEUTRAL,VERY_HIGH,
Gland,M,MAX,
Pied,M,HIGH,
Poil,M,HIGH,
Tortue,F,LOW,
Courgette ,F,HIGH,
Marsouin,M,LOW,
Margoulin,M,HIGH,
Gnome,M,MEDIUM,
Barbare,NEUTRAL,MEDIUM,
Barde,M,LOW,
Sirène,F,LOW,
Pieuvre,F,LOW,
